Boomnummer,Maatregel,Boomsoort in veld gemuteerd,Diameter afgestorven tak,Kroonsterfte,Leeftijd,Mate van hergroei,Netto ontbladering,Risicoprofiel,Straat,LAT,LON
1863567,Bomen rooien,Fraxinus ornus,< 4 cm,Lichte sterfte,62,Minimaal,26-50%,Categorie I,Robijnhof,52.07291874,5.127556869
1863447,Bomen rooien,Fraxinus excelsior 'Westhof's Glorie',4-10 cm,Boom is afstervend,37,Minimaal,76-99%,Categorie I,Nedereindseweg,52.04798354,5.041733719
1863358,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,27,Minimaal,51-75%,Categorie I,Beatrixpark,52.07079902,5.133180776
1863102,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,27,Minimaal,51-75%,Categorie II,Landgoed Amelisweerd,52.07339029,5.156389036
1863084,Bomen rooien,Fraxinus excelsior,< 4 cm,Lichte sterfte,52,Matig,6-25%,Categorie III,Landgoed Amelisweerd,52.07158312,5.153818212
1863043,Bomen rooien,Fraxinus excelsior 'Westhof's Glorie',4-10 cm,Matige sterfte,37,Minimaal,26-50%,Categorie I,Nedereindseweg,52.04808738,5.041224446
1862985,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,27,Minimaal,26-50%,Categorie I,Reactorweg,52.11213233,5.049656879
1862867,Bomen rooien,Fraxinus excelsior,>10 cm,Ernstige sterfte,47,Minimaal,51-75%,Categorie I,1e Polderweg,52.1193206,5.086167316
1862809,Bomen rooien,Fraxinus angustifolia 'Raywood',>10 cm,Boom is dood,8,Niet van toepassing,100%,Categorie I,Pedro Luis Briónstraat,52.11082945,5.147450028
1862719,Bomen rooien,Fraxinus excelsior,4-10 cm,Matige sterfte,33,Minimaal,26-50%,Categorie III,Kloosterpark,52.07502453,5.027701755
1862631,Bomen rooien,Fraxinus excelsior,4-10 cm,Matige sterfte,59,Minimaal,26-50%,Categorie I,Postmalaan,52.07829602,5.10248296
1862162,Bomen rooien,Fraxinus excelsior 'Westhof's Glorie',< 4 cm,Ernstige sterfte,37,Minimaal,76-99%,Categorie II,Fideliodreef,52.11238435,5.12051725
1862121,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,38,Matig,6-25%,Categorie I,Landgoed Amelisweerd,52.06932711,5.159796529
1861692,Bomen rooien,Fraxinus excelsior,4-10 cm,Matige sterfte,32,Minimaal,26-50%,Categorie I,Ringkade,52.04428081,5.063845361
1861646,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,53,Matig,51-75%,Categorie I,Landgoed Amelisweerd,52.07016845,5.155209692
1861573,Bomen rooien,Fraxinus excelsior,>10 cm,Ernstige sterfte,29,Matig,51-75%,Categorie III,Landgoed Amelisweerd,52.06973395,5.159631113
1861475,Bomen rooien,Fraxinus excelsior,4-10 cm,Matige sterfte,32,Minimaal,26-50%,Categorie I,Ringkade,52.04696527,5.063964754
1861422,Bomen rooien,Fraxinus excelsior,4-10 cm,Matige sterfte,22,Minimaal,26-50%,Categorie I,Nedereindseplas,52.03004658,5.062426503
1861354,Bomen rooien,Fraxinus excelsior 'Diversifolia',4-10 cm,Ernstige sterfte,38,Minimaal,26-50%,Categorie I,Weg naar Rhijnauwen,52.08282687,5.158881615
1860968,Bomen rooien,Fraxinus excelsior,4-10 cm,Boom is afstervend,32,Minimaal,76-99%,Categorie I,Ringkade,52.0491419,5.064050943
1860935,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,27,Minimaal,26-50%,Categorie III,Landgoed Amelisweerd,52.06886847,5.167239838
1860834,Bomen rooien,Fraxinus excelsior 'Westhof's Glorie',< 4 cm,Matige sterfte,37,Minimaal,51-75%,Categorie I,Wevelaan,52.10386776,5.138376909
1860752,Bomen rooien,Fraxinus excelsior,4-10 cm,,32,Minimaal,26-50%,Categorie III,Olympus,52.06390998,5.126175631
1860751,Bomen rooien,Fraxinus excelsior,4-10 cm,Geen sterfte,27,Minimaal,1-5%,Categorie I,Stelviobaan,52.06663958,5.132503633
1860400,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,32,Minimaal,51-75%,Categorie II,C.H. Letschertweg,52.07282742,5.037150584
1860307,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,25,Matig,26-50%,Categorie III,Landgoed Amelisweerd,52.06933003,5.159910274
1860241,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,38,Minimaal,26-50%,Categorie I,Landgoed Amelisweerd,52.06879323,5.176285602
1859972,Bomen rooien,Fraxinus excelsior,>10 cm,Boom is dood,39,Niet van toepassing,100%,Categorie I,Landgoed Amelisweerd,52.06970381,5.16598874
1859906,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,45,Matig,51-75%,Categorie I,Landgoed Amelisweerd,52.06773755,5.162835173
1859891,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,44,Matig,51-75%,Categorie III,Landgoed Amelisweerd,52.07087817,5.15367312
1859725,Bomen rooien,Fraxinus excelsior,4-10 cm,Matige sterfte,39,Minimaal,26-50%,Categorie II,Landgoed Amelisweerd,52.06912098,5.164819026
1859480,Bomen rooien,Fraxinus excelsior,>10 cm,Ernstige sterfte,32,Minimaal,51-75%,Categorie I,Ringkade,52.05016307,5.063995174
1859469,Bomen rooien,Fraxinus excelsior,4-10 cm,Matige sterfte,33,Minimaal,26-50%,Categorie II,Kloosterpark,52.07491607,5.028567022
1859437,Bomen rooien,Fraxinus excelsior,< 4 cm,Ernstige sterfte,28,Minimaal,51-75%,Categorie III,Landgoed Amelisweerd,52.06976322,5.155738301
1859370,Bomen rooien,Fraxinus ornus,4-10 cm,Matige sterfte,52,Minimaal,51-75%,Categorie I,Vreugdenhillaan,52.06884433,5.104466924
1859335,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,37,Minimaal,51-75%,Categorie I,Manitobadreef,52.12680648,5.079110171
1859324,Bomen rooien,Fraxinus excelsior,4-10 cm,Matige sterfte,32,Minimaal,26-50%,Categorie I,Ringkade,52.04741338,5.0639812
1859227,Bomen rooien,Fraxinus excelsior 'Westhof's Glorie',4-10 cm,Matige sterfte,37,Minimaal,26-50%,Categorie I,Nedereindseweg,52.04724591,5.043682146
1859199,Bomen rooien,Fraxinus excelsior,< 4 cm,Ernstige sterfte,34,Minimaal,26-50%,Categorie I,Meerndijk,52.08165829,5.037499743
1859092,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,53,Matig,51-75%,Categorie I,Landgoed Amelisweerd,52.06863955,5.164990596
1859056,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,59,Matig,51-75%,Categorie I,Landgoed Amelisweerd,52.06916982,5.156556645
1858963,Bomen rooien,Fraxinus excelsior,4-10 cm,Matige sterfte,32,Minimaal,26-50%,Categorie III,Manitobadreef,52.12812651,5.078130206
1858943,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,23,Matig,26-50%,Categorie III,Landgoed Amelisweerd,52.06907817,5.167871775
1858860,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,33,Minimaal,26-50%,Categorie I,Kloosterpark,52.07526717,5.027396842
1858852,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,45,Minimaal,76-99%,Categorie I,Landgoed Amelisweerd,52.07128412,5.153969999
1858825,Bomen rooien,Fraxinus excelsior,< 4 cm,Lichte sterfte,22,Minimaal,26-50%,Categorie I,Waterlinieweg,52.06718321,5.127533846
1858696,Bomen rooien,Fraxinus excelsior 'Westhof's Glorie',4-10 cm,Matige sterfte,5,Minimaal,26-50%,Categorie II,Koningin Wilhelminalaan,52.07663347,5.108527303
1858082,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,47,Matig,76-99%,Categorie I,Da Costakade,52.08103792,5.115072686
1858041,Bomen rooien,Fraxinus excelsior,>10 cm,Boom is dood,49,Niet van toepassing,100%,Categorie III,Archimedeslaan,52.09756319,5.153716072
1858027,Bomen rooien,Fraxinus excelsior,< 4 cm,Ernstige sterfte,47,Matig,51-75%,Categorie I,Lo Bruntpad,52.09868105,5.149409189
1858012,Bomen rooien,Fraxinus excelsior,4-10 cm,Matige sterfte,34,Minimaal,51-75%,Categorie I,Kloosterpark,52.07536883,5.026897308
1858009,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,48,Matig,51-75%,Categorie III,Archimedeslaan,52.09772871,5.154742031
1857764,Bomen rooien,Fraxinus excelsior,>10 cm,Ernstige sterfte,52,Minimaal,51-75%,Categorie III,Floridadreef,52.13111117,5.087468606
1857732,Bomen rooien,Fraxinus excelsior,>10 cm,Boom is afstervend,35,Niet van toepassing,76-99%,Categorie III,Landgoed Amelisweerd,52.06962431,5.165293444
1857656,Bomen rooien,Fraxinus excelsior,< 4 cm,Lichte sterfte,53,Matig,1-5%,Categorie I,Landgoed Amelisweerd,52.07017232,5.162261598
1857022,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,37,Minimaal,51-75%,Categorie I,Park de Koppel,52.06291637,5.140974503
1856994,Bomen rooien,Fraxinus ornus,< 4 cm,Lichte sterfte,37,Minimaal,26-50%,Categorie I,Zeilmakerslaan,52.07920659,5.028464357
1856936,Bomen rooien,Fraxinus excelsior 'Westhof's Glorie',< 4 cm,Ernstige sterfte,22,Minimaal,51-75%,Categorie I,Australiëlaan,52.06442977,5.103249419
1856786,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,32,Minimaal,26-50%,Categorie I,Bostondreef,52.12470965,5.095287488
1856644,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,24,Minimaal,26-50%,Categorie III,Landgoed Amelisweerd,52.07144046,5.153489328
1856542,Bomen rooien,Fraxinus excelsior,4-10 cm,Matige sterfte,32,Minimaal,26-50%,Categorie I,Ringkade,52.05159801,5.064055232
1856447,Bomen rooien,Fraxinus excelsior,< 4 cm,Lichte sterfte,34,Matig,6-25%,Categorie III,Landgoed Amelisweerd,52.06937853,5.171366231
1856433,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,34,Matig,6-25%,Categorie III,Landgoed Amelisweerd,52.06930114,5.171317017
1856192,Bomen rooien,Fraxinus excelsior,>10 cm,Boom is afstervend,24,Niet van toepassing,100%,Categorie II,Landgoed Amelisweerd,52.07043809,5.155208294
1856013,Bomen rooien,Fraxinus angustifolia 'Raywood',< 4 cm,Matige sterfte,2,Minimaal,26-50%,Categorie I,Sophocleslaan,52.08458175,5.153131666
1855885,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,20,Minimaal,26-50%,Categorie II,Vechtdijk,52.12237107,5.074939189
1855826,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,52,Minimaal,26-50%,Categorie I,Bastionweg,52.11396366,5.138845552
1855707,Bomen rooien,Fraxinus excelsior,4-10 cm,Boom is afstervend,34,Minimaal,76-99%,Categorie I,Kloosterpark,52.07488511,5.028611904
1855507,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,32,Minimaal,51-75%,Categorie I,Ringkade,52.05093674,5.064117298
1855480,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,27,Minimaal,26-50%,Categorie I,Landgoed Amelisweerd,52.07994035,5.174394681
1855275,Bomen rooien,Fraxinus excelsior,4-10 cm,Lichte sterfte,47,Minimaal,1-5%,Categorie I,Overste den Oudenlaan,52.07932473,5.102531264
1855225,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,12,Minimaal,26-50%,Categorie I,Koningsweg,52.07461646,5.14436038
1855121,Bomen rooien,Fraxinus excelsior,>10 cm,Boom is dood,29,Niet van toepassing,100%,Categorie III,Landgoed Amelisweerd,52.06885151,5.171195217
1854982,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,47,Matig,51-75%,Categorie II,Landgoed Amelisweerd,52.07132047,5.154174003
1854965,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,32,Minimaal,51-75%,Categorie I,Ringkade,52.0481788,5.06391197
